Sede,Operador,Servicio,Nivel de tension ,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26
ENGATIVA,Enel,Regulado,1 Usuario,                    10.817,                    10.817,                    10.817,                    10.817,                    10.817,                    10.817
ENGATIVA,Enel,Regulado,1 Usuario,                    15.144,                    15.144,                    15.144,                    15.144,                    15.144,                    15.144
FONTIBON,Enel,Regulado,1 Usuario,                    32.150,                    32.150,                    32.150,                    32.150,                    32.150,                    32.150
FUNZA / MERCADEO,Enel,Regulado,1 Usuario,                       6.651,                       6.651,                       6.651,                       6.651,                       6.651,                       6.651
FUNZA / MERCADEO,Enel,Regulado,1 Usuario,                       6.613,                       6.613,                       6.613,                       6.613,                       6.613,                       6.613
GAITAN SUPERMERCADO,Enel,Regulado,1 Usuario,                    16.139,                    16.139,                    16.139,                    16.139,                    16.139,                    16.139
OFICINA 93 501,Enel,Regulado,1 Usuario,                           221,                           221,                           221,                           221,                           221,                           221
OFICINA 93 502,Enel,Regulado,1 Usuario,                           958,                           958,                           958,                           958,                           958,                           958
QBURGUER CALLE 93,Enel,Regulado,1 Usuario,                           862,                           862,                           862,                           862,                           862,                           862
QBURGUER ENGATIVA,Enel,Regulado,1 Usuario,                           356,                           356,                           356,                           356,                           356,                           356
QBURGUER ESMERALDA,Enel,Regulado,1 Usuario,                       2.058,                       2.058,                       2.058,                       2.058,                       2.058,                       2.058
SAN CRISTOBAL NORTE,Enel,Regulado,1 Usuario,                       9.384,                       9.384,                       9.384,                       9.384,                       9.384,                       9.384
SUBA TIBABUYES,Enel,Regulado,1 Usuario,                    11.034,                    11.034,                    11.034,                    11.034,                    11.034,                    11.034
SUBA TIBABUYES,Enel,Regulado,1 Usuario,                       2.476,                       2.476,                       2.476,                       2.476,                       2.476,                       2.476
TOCANCIPA,Enel,Regulado,1 Usuario,                       1.879,                       1.879,                       1.879,                       1.879,                       1.879,                       1.879
,,,,,,,,,
Sede,Operador,Servicio,Nivel de tension ,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26
ENGATIVA,Enel,Regulado,1 OR,                    10.817,                    10.817,                    10.817,                    10.817,                    10.817,                    10.817
ENGATIVA,Enel,Regulado,1 OR,                    15.144,                    15.144,                    15.144,                    15.144,                    15.144,                    15.144
FONTIBON,Enel,Regulado,1 OR,                    32.150,                    32.150,                    32.150,                    32.150,                    32.150,                    32.150
FUNZA / MERCADEO,Enel,Regulado,1 OR,                       6.651,                       6.651,                       6.651,                       6.651,                       6.651,                       6.651
FUNZA / MERCADEO,Enel,Regulado,1 OR,                       6.613,                       6.613,                       6.613,                       6.613,                       6.613,                       6.613
GAITAN SUPERMERCADO,Enel,Regulado,1 OR,                    16.139,                    16.139,                    16.139,                    16.139,                    16.139,                    16.139
OFICINA 93 501,Enel,Regulado,1 OR,                           221,                           221,                           221,                           221,                           221,                           221
OFICINA 93 502,Enel,Regulado,1 OR,                           958,                           958,                           958,                           958,                           958,                           958
QBURGUER CALLE 93,Enel,Regulado,1 OR,                           862,                           862,                           862,                           862,                           862,                           862
QBURGUER ENGATIVA,Enel,Regulado,1 OR,                           356,                           356,                           356,                           356,                           356,                           356
QBURGUER ESMERALDA,Enel,Regulado,1 OR,                       2.058,                       2.058,                       2.058,                       2.058,                       2.058,                       2.058
SAN CRISTOBAL NORTE,Enel,Regulado,1 OR,                       9.384,                       9.384,                       9.384,                       9.384,                       9.384,                       9.384
SUBA TIBABUYES,Enel,Regulado,1 OR,                    11.034,                    11.034,                    11.034,                    11.034,                    11.034,                    11.034
SUBA TIBABUYES,Enel,Regulado,1 OR,                       2.476,                       2.476,                       2.476,                       2.476,                       2.476,                       2.476
TOCANCIPA,Enel,Regulado,1 OR,                       1.879,                       1.879,                       1.879,                       1.879,                       1.879,                       1.879