Mes,Nivel de tension ,Epm Tarifas,Bia Tarifa
"noviembre 1, 2025",1 Usuario,"749,87","754,13"
"diciembre 1, 2025",1 Usuario,"748,01","765,13"
"enero 1, 2026",1 Usuario,"747,66","752,06"
"febrero 1, 2026",1 Usuario,"689,03","721,84"
"marzo 1, 2026",1 Usuario,"759,03","686,52"
"abril 1, 2026",1 Usuario,"755,44","731,75"
,,,
,,,
Mes,Nivel de tension ,Epm Tarifas,Bia Tarifa
"noviembre 1, 2025",1 OR ,"819,61","823,87"
"diciembre 1, 2025",1 OR ,"816,71","833,82"
"enero 1, 2026",1 OR ,"816,36","820,3"
"febrero 1, 2026",1 OR ,"757,77","790,58"
"marzo 1, 2026",1 OR ,"821,63","749,13"
"abril 1, 2026",1 OR ,"819,09","795,4"