Mes,Nivel de tension ,Neu Tarifas,Bia Tarifa
"noviembre 1, 2025",1 Usuario,"782,18","760,61"
"diciembre 1, 2025",1 Usuario,"765,48","758,11"
"enero 1, 2026",1 Usuario,"763,28","745,36"
"febrero 1, 2026",1 Usuario,"737,13","725,08"
"marzo 1, 2026",1 Usuario,"772,97","697,37"
"abril 1, 2026",1 Usuario,"756,23","718,06"
,,,
,,,
Mes,Nivel de tension ,Neu Tarifas,Bia Tarifa
"noviembre 1, 2025",1 OR ,"834,95","813,39"
"diciembre 1, 2025",1 OR ,"817,5199","810,15"
"enero 1, 2026",1 OR ,"814,98","797,06"
"febrero 1, 2026",1 OR ,"786,33","774,27"
"marzo 1, 2026",1 OR ,"822,41","746,81"
"abril 1, 2026",1 OR ,"805,96","767,78"