Mes,Nivel de tension ,Qi Energy Tarifas,Bia Tarifa
"noviembre 1, 2025",1 Usuario,"797,15","760,61"
"diciembre 1, 2025",1 Usuario,"784,98","758,11"
"enero 1, 2026",1 Usuario,"776,13","745,36"
"febrero 1, 2026",1 Usuario,"760,5","725,08"
"marzo 1, 2026",1 Usuario,"796,36","697,37"
,,,
,,,
Mes,Nivel de tension ,Qi Energy Tarifas,Bia Tarifa
"noviembre 1, 2025",1 OR ,"849,92","813,39"
"diciembre 1, 2025",1 OR ,"837,02","810,15"
"enero 1, 2026",1 OR ,"827,84","797,06"
"febrero 1, 2026",1 OR ,"809,69","774,27"
"marzo 1, 2026",1 OR ,"845,8","746,81"