Mes,Nivel de tension ,Vatia Tarifas ,Bia Tarifa
"noviembre 1, 2025",1 Usuario,"733,61","760,61"
"diciembre 1, 2025",1 Usuario,"703,45","758,11"
"enero 1, 2026",1 Usuario,"716,72","745,36"
"febrero 1, 2026",1 Usuario,"711,33","725,08"
"marzo 1, 2026",1 Usuario,"738,79","697,37"
"abril 1, 2026",1 Usuario,"729,14","718,06"
,,,
,,,
Mes,Nivel de tension ,Vatia Tarifas,Bia Tarifa
"noviembre 1, 2025",1 OR ,"810,47","813,39"
"diciembre 1, 2025",1 OR ,"755,5","810,15"
"enero 1, 2026",1 OR ,"768,42","797,06"
"febrero 1, 2026",1 OR ,"760,52","774,27"
"marzo 1, 2026",1 OR ,"788,23","746,81"
"abril 1, 2026",1 OR ,"778,87","767,78"